id,question,gold_label,rag_prediction,rag_correct,rag_n_claims,rag_n_unsupported,rag_unsup_rate,rag_runtime_s,vrag_prediction,vrag_correct,vrag_n_claims,vrag_n_unsupported,vrag_unsup_rate,vrag_runtime_s,repair_applied
21645374,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,yes,yes,1,3,1,0.3333,0.0011,yes,1,2,0,0.0,3.3124,True
16418930,Landolt C and snellen e acuity: differences in strabismus amblyopia?,no,maybe,0,3,1,0.3333,0.0001,maybe,0,2,0,0.0,2.8316,True
9488747,"Syncope during bathing in infants, a pediatric form of water-induced urticaria?",yes,yes,1,3,1,0.3333,0.0003,yes,1,2,0,0.0,5.3857,True
17208539,Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,no,yes,0,3,1,0.3333,0.0003,yes,0,2,0,0.0,3.7707,True
10808977,Can tailored interventions increase mammography use among HMO women?,yes,yes,1,3,1,0.3333,0.0015,yes,1,2,0,0.0,2.9145,True
23831910,Double balloon enteroscopy: is it efficacious and safe in a community setting?,yes,maybe,0,3,1,0.3333,0.0003,maybe,0,2,0,0.0,4.0232,True
26037986,30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,maybe,yes,0,3,1,0.3333,0.0005,yes,0,2,0,0.0,2.0756,True
26852225,Is adjustment for reporting heterogeneity necessary in sleep disorders?,no,yes,0,3,1,0.3333,0.0005,yes,0,2,0,0.0,3.5396,True
17113061,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,yes,0,3,1,0.3333,0.0002,yes,0,2,0,0.0,3.5888,True
10966337,A short stay or 23-hour ward in a general and academic children's hospital: are they effective?,yes,yes,1,3,1,0.3333,0.0002,yes,1,2,0,0.0,3.5341,True
25432938,Did Chile's traffic law reform push police enforcement?,yes,yes,1,3,1,0.3333,0.0003,yes,1,2,0,0.0,3.0627,True
18847643,Therapeutic anticoagulation in the trauma patient: is it safe?,no,yes,0,3,1,0.3333,0.0001,yes,0,2,0,0.0,2.8228,True
